,Index,Country,Gender,Demographics Question,Demographics Response,Question,Value,Status
2071,2071,Cameroon,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,37.2,Low
2072,2072,Cameroon,F,Marital status,Married or living together,... if she refuses to have sex with him,16.8,Medium
2073,2073,Cameroon,F,Marital status,Never married,... if she refuses to have sex with him,8.5,High
2074,2074,Cameroon,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,12.2,Medium
2075,2075,Cameroon,F,Residence,Rural,... for at least one specific reason,53.9,Very Low
2076,2076,Cameroon,F,Residence,Urban,... for at least one specific reason,40.1,Low
2077,2077,Cameroon,F,Residence,Rural,... if she argues with him,28.1,Low
2078,2078,Cameroon,F,Residence,Urban,... if she argues with him,14.4,Medium
2079,2079,Cameroon,F,Residence,Rural,... if she goes out without telling him,34.3,Low
2080,2080,Cameroon,F,Residence,Urban,... if she goes out without telling him,19.9,Medium
2081,2081,Cameroon,F,Residence,Rural,... if she neglects the children,42.4,Low
2082,2082,Cameroon,F,Residence,Urban,... if she neglects the children,33.1,Low
2083,2083,Cameroon,F,Residence,Rural,... if she refuses to have sex with him,20.7,Medium
2084,2084,Cameroon,F,Residence,Urban,... if she refuses to have sex with him,8.4,High
2085,2085,Cameroon,M,Age,15-24,... for at least one specific reason,42.9,Low
2086,2086,Cameroon,M,Age,25-34,... for at least one specific reason,36.5,Low
2087,2087,Cameroon,M,Age,35-49,... for at least one specific reason,34.5,Low
2088,2088,Cameroon,M,Age,15-24,... if she argues with him,19.4,Medium
2089,2089,Cameroon,M,Age,25-34,... if she argues with him,16.8,Medium
2090,2090,Cameroon,M,Age,35-49,... if she argues with him,15.7,Medium
2091,2091,Cameroon,M,Age,15-24,... if she goes out without telling him,22.0,Medium
2092,2092,Cameroon,M,Age,25-34,... if she goes out without telling him,20.3,Medium
2093,2093,Cameroon,M,Age,35-49,... if she goes out without telling him,21.2,Medium
2094,2094,Cameroon,M,Age,15-24,... if she neglects the children,32.0,Low
2095,2095,Cameroon,M,Age,25-34,... if she neglects the children,27.9,Low
2096,2096,Cameroon,M,Age,35-49,... if she neglects the children,24.9,Medium
2097,2097,Cameroon,M,Age,15-24,... if she refuses to have sex with him,8.6,High
2098,2098,Cameroon,M,Age,25-34,... if she refuses to have sex with him,7.3,High
2099,2099,Cameroon,M,Age,35-49,... if she refuses to have sex with him,6.6,High
2100,2100,Cameroon,M,Education,Higher,... for at least one specific reason,23.6,Medium
2101,2101,Cameroon,M,Education,No education,... for at least one specific reason,37.3,Low
2102,2102,Cameroon,M,Education,Primary,... for at least one specific reason,43.7,Low
2103,2103,Cameroon,M,Education,Secondary,... for at least one specific reason,38.6,Low
2104,2104,Cameroon,M,Education,Higher,... if she argues with him,7.3,High
2105,2105,Cameroon,M,Education,No education,... if she argues with him,21.7,Medium
2106,2106,Cameroon,M,Education,Primary,... if she argues with him,23.1,Medium
2107,2107,Cameroon,M,Education,Secondary,... if she argues with him,15.5,Medium
2108,2108,Cameroon,M,Education,Higher,... if she goes out without telling him,8.7,High
2109,2109,Cameroon,M,Education,No education,... if she goes out without telling him,25.3,Low
2110,2110,Cameroon,M,Education,Primary,... if she goes out without telling him,27.5,Low
2111,2111,Cameroon,M,Education,Secondary,... if she goes out without telling him,19.0,Medium
2112,2112,Cameroon,M,Education,Higher,... if she neglects the children,17.5,Medium
2113,2113,Cameroon,M,Education,No education,... if she neglects the children,26.1,Low
2114,2114,Cameroon,M,Education,Primary,... if she neglects the children,32.2,Low
2115,2115,Cameroon,M,Education,Secondary,... if she neglects the children,29.3,Low
2116,2116,Cameroon,M,Education,Higher,... if she refuses to have sex with him,1.7,Very High
2117,2117,Cameroon,M,Education,No education,... if she refuses to have sex with him,13.7,Medium
2118,2118,Cameroon,M,Education,Primary,... if she refuses to have sex with him,10.7,Medium
2119,2119,Cameroon,M,Education,Secondary,... if she refuses to have sex with him,5.9,High
2120,2120,Cameroon,M,Employment,Employed for cash,... for at least one specific reason,39.2,Low
2121,2121,Cameroon,M,Employment,Employed for kind,... for at least one specific reason,36.6,Low
2122,2122,Cameroon,M,Employment,Unemployed,... for at least one specific reason,36.6,Low
2123,2123,Cameroon,M,Employment,Employed for cash,... if she argues with him,18.0,Medium
2124,2124,Cameroon,M,Employment,Employed for kind,... if she argues with him,19.2,Medium
2125,2125,Cameroon,M,Employment,Unemployed,... if she argues with him,13.9,Medium
2126,2126,Cameroon,M,Employment,Employed for cash,... if she goes out without telling him,21.9,Medium
2127,2127,Cameroon,M,Employment,Employed for kind,... if she goes out without telling him,16.7,Medium
2128,2128,Cameroon,M,Employment,Unemployed,... if she goes out without telling him,19.7,Medium
2129,2129,Cameroon,M,Employment,Employed for cash,... if she neglects the children,29.1,Low
2130,2130,Cameroon,M,Employment,Employed for kind,... if she neglects the children,28.0,Low
2131,2131,Cameroon,M,Employment,Unemployed,... if she neglects the children,28.2,Low
2132,2132,Cameroon,M,Employment,Employed for cash,... if she refuses to have sex with him,7.9,High
2133,2133,Cameroon,M,Employment,Employed for kind,... if she refuses to have sex with him,8.1,High
2134,2134,Cameroon,M,Employment,Unemployed,... if she refuses to have sex with him,6.1,High
2135,2135,Cameroon,M,Marital status,Married or living together,... for at least one specific reason,36.7,Low
2136,2136,Cameroon,M,Marital status,Never married,... for at least one specific reason,40.5,Low
2137,2137,Cameroon,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,40.0,Low
2138,2138,Cameroon,M,Marital status,Married or living together,... if she argues with him,17.3,Medium
2139,2139,Cameroon,M,Marital status,Never married,... if she argues with him,17.9,Medium
2140,2140,Cameroon,M,Marital status,"Widowed, divorced, separated",... if she argues with him,18.5,Medium
2141,2141,Cameroon,M,Marital status,Married or living together,... if she goes out without telling him,21.8,Medium
2142,2142,Cameroon,M,Marital status,Never married,... if she goes out without telling him,20.4,Medium
2143,2143,Cameroon,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,25.4,Low
2144,2144,Cameroon,M,Marital status,Married or living together,... if she neglects the children,27.4,Low
2145,2145,Cameroon,M,Marital status,Never married,... if she neglects the children,30.1,Low
2146,2146,Cameroon,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,30.7,Low
2147,2147,Cameroon,M,Marital status,Married or living together,... if she refuses to have sex with him,7.4,High
2148,2148,Cameroon,M,Marital status,Never married,... if she refuses to have sex with him,7.8,High
2149,2149,Cameroon,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,10.1,Medium
2150,2150,Cameroon,M,Residence,Rural,... for at least one specific reason,43.5,Low
2151,2151,Cameroon,M,Residence,Urban,... for at least one specific reason,34.9,Low
2152,2152,Cameroon,M,Residence,Rural,... if she argues with him,22.8,Medium
2153,2153,Cameroon,M,Residence,Urban,... if she argues with him,13.6,Medium
2154,2154,Cameroon,M,Residence,Rural,... if she goes out without telling him,27.0,Low
2155,2155,Cameroon,M,Residence,Urban,... if she goes out without telling him,16.7,Medium
2156,2156,Cameroon,M,Residence,Rural,... if she neglects the children,32.3,Low
2157,2157,Cameroon,M,Residence,Urban,... if she neglects the children,26.2,Low
2158,2158,Cameroon,M,Residence,Rural,... if she refuses to have sex with him,11.6,Medium
2159,2159,Cameroon,M,Residence,Urban,... if she refuses to have sex with him,4.6,Very High
2160,2160,Chad,F,Education,Higher,... if she burns the food,24.4,Medium
2161,2161,Chad,F,Marital status,Never married,... if she burns the food,40.9,Low
2162,2162,Chad,F,Employment,Unemployed,... if she burns the food,42.3,Low
2163,2163,Chad,F,Education,No education,... if she burns the food,45.4,Very Low
2164,2164,Chad,F,Marital status,"Widowed, divorced, separated",... if she burns the food,45.9,Very Low
2165,2165,Chad,F,Residence,Urban,... if she burns the food,45.9,Very Low
2166,2166,Chad,F,Age,35-49,... if she burns the food,47.4,Very Low
2167,2167,Chad,F,Age,15-24,... if she burns the food,47.7,Very Low
2168,2168,Chad,F,Employment,Employed for kind,... if she burns the food,49.4,Very Low
2169,2169,Chad,F,Residence,Rural,... if she burns the food,49.4,Very Low
2170,2170,Chad,F,Age,25-34,... if she burns the food,50.5,Very Low
2171,2171,Chad,F,Marital status,Married or living together,... if she burns the food,50.5,Very Low
2172,2172,Chad,F,Education,Secondary,... if she burns the food,51.9,Very Low
2173,2173,Chad,F,Education,Primary,... if she burns the food,56.2,Very Low
2174,2174,Chad,F,Employment,Employed for cash,... if she burns the food,56.7,Very Low
2175,2175,Chad,M,Education,Higher,... if she burns the food,12.4,Medium
2176,2176,Chad,M,Residence,Urban,... if she burns the food,21.6,Medium
2177,2177,Chad,M,Age,35-49,... if she burns the food,24.0,Medium
2178,2178,Chad,M,Employment,Unemployed,... if she burns the food,24.3,Medium
2179,2179,Chad,M,Education,No education,... if she burns the food,24.7,Medium
2180,2180,Chad,M,Employment,Employed for cash,... if she burns the food,25.6,Low
2181,2181,Chad,M,Marital status,Married or living together,... if she burns the food,26.0,Low
2182,2182,Chad,M,Age,25-34,... if she burns the food,28.6,Low
2183,2183,Chad,M,Education,Secondary,... if she burns the food,28.8,Low
2184,2184,Chad,M,Marital status,Never married,... if she burns the food,28.8,Low
2185,2185,Chad,M,Age,15-24,... if she burns the food,29.3,Low
2186,2186,Chad,M,Residence,Rural,... if she burns the food,30.0,Low
2187,2187,Chad,M,Employment,Employed for kind,... if she burns the food,31.5,Low
2188,2188,Chad,M,Education,Primary,... if she burns the food,31.9,Low
2189,2189,Chad,M,Marital status,"Widowed, divorced, separated",... if she burns the food,38.7,Low
2190,2190,Chad,F,Age,15-24,... for at least one specific reason,72.2,Very Low
2191,2191,Chad,F,Age,25-34,... for at least one specific reason,76.1,Very Low
2192,2192,Chad,F,Age,35-49,... for at least one specific reason,72.5,Very Low
2193,2193,Chad,F,Age,15-24,... if she argues with him,47.8,Very Low
2194,2194,Chad,F,Age,25-34,... if she argues with him,52.0,Very Low
2195,2195,Chad,F,Age,35-49,... if she argues with him,50.1,Very Low
2196,2196,Chad,F,Age,15-24,... if she goes out without telling him,56.2,Very Low
2197,2197,Chad,F,Age,25-34,... if she goes out without telling him,62.3,Very Low
2198,2198,Chad,F,Age,35-49,... if she goes out without telling him,59.1,Very Low
2199,2199,Chad,F,Age,15-24,... if she neglects the children,57.9,Very Low
2200,2200,Chad,F,Age,25-34,... if she neglects the children,62.6,Very Low
2201,2201,Chad,F,Age,35-49,... if she neglects the children,59.0,Very Low
2202,2202,Chad,F,Age,15-24,... if she refuses to have sex with him,37.2,Low
2203,2203,Chad,F,Age,25-34,... if she refuses to have sex with him,43.3,Low
2204,2204,Chad,F,Age,35-49,... if she refuses to have sex with him,42.2,Low
2205,2205,Chad,F,Education,Higher,... for at least one specific reason,60.1,Very Low
2206,2206,Chad,F,Education,No education,... for at least one specific reason,70.9,Very Low
2207,2207,Chad,F,Education,Primary,... for at least one specific reason,79.5,Very Low
2208,2208,Chad,F,Education,Secondary,... for at least one specific reason,76.7,Very Low
2209,2209,Chad,F,Education,Higher,... if she argues with him,38.8,Low
2210,2210,Chad,F,Education,No education,... if she argues with him,47.6,Very Low
2211,2211,Chad,F,Education,Primary,... if she argues with him,55.1,Very Low
2212,2212,Chad,F,Education,Secondary,... if she argues with him,51.8,Very Low
2213,2213,Chad,F,Education,Higher,... if she goes out without telling him,37.1,Low
2214,2214,Chad,F,Education,No education,... if she goes out without telling him,56.3,Very Low
2215,2215,Chad,F,Education,Primary,... if she goes out without telling him,66.5,Very Low
2216,2216,Chad,F,Education,Secondary,... if she goes out without telling him,60.3,Very Low
2217,2217,Chad,F,Education,Higher,... if she neglects the children,43.1,Low
2218,2218,Chad,F,Education,No education,... if she neglects the children,56.7,Very Low
2219,2219,Chad,F,Education,Primary,... if she neglects the children,66.3,Very Low
2220,2220,Chad,F,Education,Secondary,... if she neglects the children,64.0,Very Low
2221,2221,Chad,F,Education,Higher,... if she refuses to have sex with him,21.8,Medium
2222,2222,Chad,F,Education,No education,... if she refuses to have sex with him,41.5,Low
2223,2223,Chad,F,Education,Primary,... if she refuses to have sex with him,43.2,Low
2224,2224,Chad,F,Education,Secondary,... if she refuses to have sex with him,33.6,Low
2225,2225,Chad,F,Employment,Employed for cash,... for at least one specific reason,79.6,Very Low
2226,2226,Chad,F,Employment,Employed for kind,... for at least one specific reason,70.7,Very Low
2227,2227,Chad,F,Employment,Unemployed,... for at least one specific reason,70.0,Very Low
2228,2228,Chad,F,Employment,Employed for cash,... if she argues with him,56.6,Very Low
2229,2229,Chad,F,Employment,Employed for kind,... if she argues with him,48.8,Very Low
2230,2230,Chad,F,Employment,Unemployed,... if she argues with him,45.1,Very Low
2231,2231,Chad,F,Employment,Employed for cash,... if she goes out without telling him,65.5,Very Low
2232,2232,Chad,F,Employment,Employed for kind,... if she goes out without telling him,60.6,Very Low
2233,2233,Chad,F,Employment,Unemployed,... if she goes out without telling him,53.8,Very Low
2234,2234,Chad,F,Employment,Employed for cash,... if she neglects the children,67.0,Very Low
2235,2235,Chad,F,Employment,Employed for kind,... if she neglects the children,60.7,Very Low
2236,2236,Chad,F,Employment,Unemployed,... if she neglects the children,54.2,Very Low
2237,2237,Chad,F,Employment,Employed for cash,... if she refuses to have sex with him,45.7,Very Low
2238,2238,Chad,F,Employment,Employed for kind,... if she refuses to have sex with him,40.1,Low
2239,2239,Chad,F,Employment,Unemployed,... if she refuses to have sex with him,37.0,Low
2240,2240,Chad,F,Marital status,Married or living together,... for at least one specific reason,76.0,Very Low
2241,2241,Chad,F,Marital status,Never married,... for at least one specific reason,63.7,Very Low
2242,2242,Chad,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,71.0,Very Low
2243,2243,Chad,F,Marital status,Married or living together,... if she argues with him,52.1,Very Low
2244,2244,Chad,F,Marital status,Never married,... if she argues with him,39.5,Low
2245,2245,Chad,F,Marital status,"Widowed, divorced, separated",... if she argues with him,49.3,Very Low
2246,2246,Chad,F,Marital status,Married or living together,... if she goes out without telling him,62.1,Very Low
2247,2247,Chad,F,Marital status,Never married,... if she goes out without telling him,46.3,Very Low
2248,2248,Chad,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,56.9,Very Low
2249,2249,Chad,F,Marital status,Married or living together,... if she neglects the children,62.1,Very Low
2250,2250,Chad,F,Marital status,Never married,... if she neglects the children,49.6,Very Low
2251,2251,Chad,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,58.8,Very Low
2252,2252,Chad,F,Marital status,Married or living together,... if she refuses to have sex with him,43.7,Low
2253,2253,Chad,F,Marital status,Never married,... if she refuses to have sex with him,26.5,Low
2254,2254,Chad,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,40.8,Low
2255,2255,Chad,F,Residence,Rural,... for at least one specific reason,73.5,Very Low
2256,2256,Chad,F,Residence,Urban,... for at least one specific reason,73.8,Very Low
2257,2257,Chad,F,Residence,Rural,... if she argues with him,50.2,Very Low
2258,2258,Chad,F,Residence,Urban,... if she argues with him,48.4,Very Low
2259,2259,Chad,F,Residence,Rural,... if she goes out without telling him,59.9,Very Low
2260,2260,Chad,F,Residence,Urban,... if she goes out without telling him,56.2,Very Low
2261,2261,Chad,F,Residence,Rural,... if she neglects the children,60.1,Very Low
2262,2262,Chad,F,Residence,Urban,... if she neglects the children,58.8,Very Low
2263,2263,Chad,F,Residence,Rural,... if she refuses to have sex with him,42.6,Low
2264,2264,Chad,F,Residence,Urban,... if she refuses to have sex with him,34.2,Low
2265,2265,Chad,M,Age,15-24,... for at least one specific reason,53.2,Very Low
2266,2266,Chad,M,Age,25-34,... for at least one specific reason,50.5,Very Low
2267,2267,Chad,M,Age,35-49,... for at least one specific reason,46.8,Very Low
2268,2268,Chad,M,Age,15-24,... if she argues with him,24.4,Medium
2269,2269,Chad,M,Age,25-34,... if she argues with him,20.8,Medium
2270,2270,Chad,M,Age,35-49,... if she argues with him,20.6,Medium
2271,2271,Chad,M,Age,15-24,... if she goes out without telling him,30.0,Low
2272,2272,Chad,M,Age,25-34,... if she goes out without telling him,28.1,Low
2273,2273,Chad,M,Age,35-49,... if she goes out without telling him,25.7,Low
2274,2274,Chad,M,Age,15-24,... if she neglects the children,38.4,Low
2275,2275,Chad,M,Age,25-34,... if she neglects the children,37.3,Low
2276,2276,Chad,M,Age,35-49,... if she neglects the children,34.8,Low
2277,2277,Chad,M,Age,15-24,... if she refuses to have sex with him,25.9,Low
2278,2278,Chad,M,Age,25-34,... if she refuses to have sex with him,22.9,Medium
2279,2279,Chad,M,Age,35-49,... if she refuses to have sex with him,21.5,Medium
2280,2280,Chad,M,Education,Higher,... for at least one specific reason,36.6,Low
2281,2281,Chad,M,Education,No education,... for at least one specific reason,50.2,Very Low
2282,2282,Chad,M,Education,Primary,... for at least one specific reason,53.0,Very Low
2283,2283,Chad,M,Education,Secondary,... for at least one specific reason,50.6,Very Low
2284,2284,Chad,M,Education,Higher,... if she argues with him,10.1,Medium
2285,2285,Chad,M,Education,No education,... if she argues with him,24.6,Medium
2286,2286,Chad,M,Education,Primary,... if she argues with him,22.8,Medium
2287,2287,Chad,M,Education,Secondary,... if she argues with him,20.8,Medium
2288,2288,Chad,M,Education,Higher,... if she goes out without telling him,17.7,Medium
2289,2289,Chad,M,Education,No education,... if she goes out without telling him,28.6,Low
2290,2290,Chad,M,Education,Primary,... if she goes out without telling him,30.7,Low
2291,2291,Chad,M,Education,Secondary,... if she goes out without telling him,26.9,Low
2292,2292,Chad,M,Education,Higher,... if she neglects the children,27.6,Low
2293,2293,Chad,M,Education,No education,... if she neglects the children,34.6,Low
2294,2294,Chad,M,Education,Primary,... if she neglects the children,40.5,Low
2295,2295,Chad,M,Education,Secondary,... if she neglects the children,37.9,Low
2296,2296,Chad,M,Education,Higher,... if she refuses to have sex with him,9.3,High
2297,2297,Chad,M,Education,No education,... if she refuses to have sex with him,24.6,Medium
2298,2298,Chad,M,Education,Primary,... if she refuses to have sex with him,25.0,
2299,2299,Chad,M,Education,Secondary,... if she refuses to have sex with him,23.5,Medium
2300,2300,Chad,M,Employment,Employed for cash,... for at least one specific reason,51.9,Very Low
2301,2301,Chad,M,Employment,Employed for kind,... for at least one specific reason,48.2,Very Low
2302,2302,Chad,M,Employment,Unemployed,... for at least one specific reason,51.8,Very Low
2303,2303,Chad,M,Employment,Employed for cash,... if she argues with him,20.1,Medium
2304,2304,Chad,M,Employment,Employed for kind,... if she argues with him,23.9,Medium
2305,2305,Chad,M,Employment,Unemployed,... if she argues with him,26.5,Low
2306,2306,Chad,M,Employment,Employed for cash,... if she goes out without telling him,26.9,Low
2307,2307,Chad,M,Employment,Employed for kind,... if she goes out without telling him,29.1,Low
2308,2308,Chad,M,Employment,Unemployed,... if she goes out without telling him,30.3,Low
2309,2309,Chad,M,Employment,Employed for cash,... if she neglects the children,39.6,Low
2310,2310,Chad,M,Employment,Employed for kind,... if she neglects the children,33.2,Low
2311,2311,Chad,M,Employment,Unemployed,... if she neglects the children,37.7,Low
2312,2312,Chad,M,Employment,Employed for cash,... if she refuses to have sex with him,23.7,Medium
2313,2313,Chad,M,Employment,Employed for kind,... if she refuses to have sex with him,24.2,Medium
2314,2314,Chad,M,Employment,Unemployed,... if she refuses to have sex with him,22.9,Medium
2315,2315,Chad,M,Marital status,Married or living together,... for at least one specific reason,48.4,Very Low
2316,2316,Chad,M,Marital status,Never married,... for at least one specific reason,53.1,Very Low
2317,2317,Chad,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,55.3,Very Low
2318,2318,Chad,M,Marital status,Married or living together,... if she argues with him,21.0,Medium
2319,2319,Chad,M,Marital status,Never married,... if she argues with him,23.8,Medium
2320,2320,Chad,M,Marital status,"Widowed, divorced, separated",... if she argues with him,26.8,Low
2321,2321,Chad,M,Marital status,Married or living together,... if she goes out without telling him,26.7,Low
2322,2322,Chad,M,Marital status,Never married,... if she goes out without telling him,29.8,Low
2323,2323,Chad,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,35.2,Low
2324,2324,Chad,M,Marital status,Married or living together,... if she neglects the children,35.6,Low
2325,2325,Chad,M,Marital status,Never married,... if she neglects the children,38.8,Low
2326,2326,Chad,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,39.2,Low
2327,2327,Chad,M,Marital status,Married or living together,... if she refuses to have sex with him,22.3,Medium
2328,2328,Chad,M,Marital status,Never married,... if she refuses to have sex with him,25.2,Low
2329,2329,Chad,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,32.6,Low
2330,2330,Chad,M,Residence,Rural,... for at least one specific reason,51.6,Very Low
2331,2331,Chad,M,Residence,Urban,... for at least one specific reason,47.9,Very Low
2332,2332,Chad,M,Residence,Rural,... if she argues with him,23.3,Medium
2333,2333,Chad,M,Residence,Urban,... if she argues with him,19.8,Medium
2334,2334,Chad,M,Residence,Rural,... if she goes out without telling him,28.9,Low
2335,2335,Chad,M,Residence,Urban,... if she goes out without telling him,26.3,Low
2336,2336,Chad,M,Residence,Rural,... if she neglects the children,38.0,Low
2337,2337,Chad,M,Residence,Urban,... if she neglects the children,34.6,Low
2338,2338,Chad,M,Residence,Rural,... if she refuses to have sex with him,26.1,Low
2339,2339,Chad,M,Residence,Urban,... if she refuses to have sex with him,18.2,Medium
2340,2340,Colombia,F,Age,25-34,... if she burns the food,0.8,Very High
2341,2341,Colombia,F,Education,Higher,... if she burns the food,0.8,Very High
2342,2342,Colombia,F,Employment,Employed for cash,... if she burns the food,1.1,Very High
2343,2343,Colombia,F,Marital status,Married or living together,... if she burns the food,1.1,Very High
2344,2344,Colombia,F,Residence,Urban,... if she burns the food,1.1,Very High
2345,2345,Colombia,F,Age,15-24,... if she burns the food,1.2,Very High
2346,2346,Colombia,F,Education,Secondary,... if she burns the food,1.2,Very High
2347,2347,Colombia,F,Marital status,Never married,... if she burns the food,1.2,Very High
2348,2348,Colombia,F,Employment,Unemployed,... if she burns the food,1.3,Very High
2349,2349,Colombia,F,Marital status,"Widowed, divorced, separated",... if she burns the food,1.3,Very High
2350,2350,Colombia,F,Age,35-49,... if she burns the food,1.4,Very High
2351,2351,Colombia,F,Residence,Rural,... if she burns the food,1.5,Very High
2352,2352,Colombia,F,Education,Primary,... if she burns the food,1.7,Very High
2353,2353,Colombia,F,Education,No education,... if she burns the food,1.8,Very High
2354,2354,Colombia,F,Employment,Employed for kind,... if she burns the food,1.9,Very High
2355,2355,Colombia,M,Education,Higher,... if she burns the food,0.7,Very High
2356,2356,Colombia,M,Residence,Urban,... if she burns the food,0.9,Very High
2357,2357,Colombia,M,Age,35-49,... if she burns the food,1.0,Very High
2358,2358,Colombia,M,Age,25-34,... if she burns the food,1.1,Very High
2359,2359,Colombia,M,Education,Secondary,... if she burns the food,1.1,Very High
2360,2360,Colombia,M,Employment,Employed for cash,... if she burns the food,1.1,Very High
2361,2361,Colombia,M,Marital status,Married or living together,... if she burns the food,1.1,Very High
2362,2362,Colombia,M,Marital status,"Widowed, divorced, separated",... if she burns the food,1.2,Very High
2363,2363,Colombia,M,Marital status,Never married,... if she burns the food,1.3,Very High
2364,2364,Colombia,M,Age,15-24,... if she burns the food,1.4,Very High
2365,2365,Colombia,M,Employment,Employed for kind,... if she burns the food,1.4,Very High
2366,2366,Colombia,M,Employment,Unemployed,... if she burns the food,1.7,Very High
2367,2367,Colombia,M,Education,Primary,... if she burns the food,1.9,Very High
2368,2368,Colombia,M,Residence,Rural,... if she burns the food,2.0,Very High
2369,2369,Colombia,M,Education,No education,... if she burns the food,2.8,Very High
2370,2370,Colombia,F,Age,15-24,... for at least one specific reason,3.2,Very High
2371,2371,Colombia,F,Age,25-34,... for at least one specific reason,2.7,Very High
2372,2372,Colombia,F,Age,35-49,... for at least one specific reason,3.4,Very High
2373,2373,Colombia,F,Age,15-24,... if she argues with him,1.3,Very High
2374,2374,Colombia,F,Age,25-34,... if she argues with him,1.0,Very High
2375,2375,Colombia,F,Age,35-49,... if she argues with him,1.4,Very High
2376,2376,Colombia,F,Age,15-24,... if she goes out without telling him,1.1,Very High
2377,2377,Colombia,F,Age,25-34,... if she goes out without telling him,1.1,Very High
2378,2378,Colombia,F,Age,35-49,... if she goes out without telling him,1.4,Very High
2379,2379,Colombia,F,Age,15-24,... if she neglects the children,2.3,Very High
2380,2380,Colombia,F,Age,25-34,... if she neglects the children,2.1,Very High
2381,2381,Colombia,F,Age,35-49,... if she neglects the children,2.7,Very High
2382,2382,Colombia,F,Age,15-24,... if she refuses to have sex with him,1.1,Very High
2383,2383,Colombia,F,Age,25-34,... if she refuses to have sex with him,0.8,Very High
2384,2384,Colombia,F,Age,35-49,... if she refuses to have sex with him,1.3,Very High
2385,2385,Colombia,F,Education,Higher,... for at least one specific reason,1.6,Very High
2386,2386,Colombia,F,Education,No education,... for at least one specific reason,12.7,Medium
2387,2387,Colombia,F,Education,Primary,... for at least one specific reason,5.7,High
2388,2388,Colombia,F,Education,Secondary,... for at least one specific reason,3.1,Very High
2389,2389,Colombia,F,Education,Higher,... if she argues with him,0.9,Very High
2390,2390,Colombia,F,Education,No education,... if she argues with him,3.6,Very High
2391,2391,Colombia,F,Education,Primary,... if she argues with him,1.8,Very High
2392,2392,Colombia,F,Education,Secondary,... if she argues with him,1.3,Very High
2393,2393,Colombia,F,Education,Higher,... if she goes out without telling him,0.8,Very High
2394,2394,Colombia,F,Education,No education,... if she goes out without telling him,5.8,High
2395,2395,Colombia,F,Education,Primary,... if she goes out without telling him,1.8,Very High
2396,2396,Colombia,F,Education,Secondary,... if she goes out without telling him,1.3,Very High
2397,2397,Colombia,F,Education,Higher,... if she neglects the children,1.2,Very High
2398,2398,Colombia,F,Education,No education,... if she neglects the children,9.8,High
2399,2399,Colombia,F,Education,Primary,... if she neglects the children,4.4,Very High
2400,2400,Colombia,F,Education,Secondary,... if she neglects the children,2.5,Very High
2401,2401,Colombia,F,Education,Higher,... if she refuses to have sex with him,0.9,Very High
2402,2402,Colombia,F,Education,No education,... if she refuses to have sex with him,2.9,Very High
2403,2403,Colombia,F,Education,Primary,... if she refuses to have sex with him,1.4,Very High
2404,2404,Colombia,F,Education,Secondary,... if she refuses to have sex with him,1.1,Very High
2405,2405,Colombia,F,Employment,Employed for cash,... for at least one specific reason,2.7,Very High
2406,2406,Colombia,F,Employment,Employed for kind,... for at least one specific reason,5.5,High
2407,2407,Colombia,F,Employment,Unemployed,... for at least one specific reason,3.9,Very High
2408,2408,Colombia,F,Employment,Employed for cash,... if she argues with him,1.1,Very High
2409,2409,Colombia,F,Employment,Employed for kind,... if she argues with him,2.0,Very High
2410,2410,Colombia,F,Employment,Unemployed,... if she argues with him,1.5,Very High
2411,2411,Colombia,F,Employment,Employed for cash,... if she goes out without telling him,1.1,Very High
2412,2412,Colombia,F,Employment,Employed for kind,... if she goes out without telling him,2.4,Very High
2413,2413,Colombia,F,Employment,Unemployed,... if she goes out without telling him,1.4,Very High
2414,2414,Colombia,F,Employment,Employed for cash,... if she neglects the children,2.1,Very High
2415,2415,Colombia,F,Employment,Employed for kind,... if she neglects the children,4.4,Very High
2416,2416,Colombia,F,Employment,Unemployed,... if she neglects the children,2.9,Very High
2417,2417,Colombia,F,Employment,Employed for cash,... if she refuses to have sex with him,1.0,Very High
2418,2418,Colombia,F,Employment,Employed for kind,... if she refuses to have sex with him,2.0,Very High
2419,2419,Colombia,F,Employment,Unemployed,... if she refuses to have sex with him,1.1,Very High
2420,2420,Colombia,F,Marital status,Married or living together,... for at least one specific reason,3.3,Very High
2421,2421,Colombia,F,Marital status,Never married,... for at least one specific reason,2.8,Very High
2422,2422,Colombia,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,3.0,Very High
2423,2423,Colombia,F,Marital status,Married or living together,... if she argues with him,1.2,Very High
2424,2424,Colombia,F,Marital status,Never married,... if she argues with him,1.3,Very High
